CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
False,ATLANTIC GLORY,TS Elegance,8919403,011021791,Fishing Vessel,Purse seine,Belize,V3PB8,312864000,2109.000,1650,79.800,199104,8.900,"Huelva S.A., Astilleros De, Spain",Zhong Gha Foods Co Ltd,Africa Star Fisheries Ltd,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
False,ATLANTIC PRINCE,TS Emerald,8919415,,Fishing Vessel,Purse seine,Belize,V3PG8,312867000,2109.000,1650,79.800,199107,8.900,"Huelva S.A., Astilleros De, Spain",Zhong Gha Foods Co Ltd,Africa Star Fisheries Ltd,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
False,ATLANTIC QUEEN,TS Prosperity,9223227,"316640, GSR 0179, AFT 84",Fishing Vessel,Purse seine,Ghana,9GHE,627179000,1664.000,1566,72.530,200007,5.700,"Niigata Shipbuilding & Repair Inc, Japan",Zhong Gha Foods Co Ltd,"Africa Star Fisheries Ltd, Zhong Gha Foods Co Ltd",In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
True,ATLANTIC WIND,ATLANTIC WIND,9042001,,Fishing Vessel,Gillnets,Curacao,PJBN,306020000,851.000,652,61.720,199012,4.170,"Dae Sun Shipbuilding & Engineering Co (Busan , Korea, South), Korea, South",Bright Future Invest NV,,In Service/commission,2015-05-01 - ,,2015-10-02 - ,,,,,,2004-11-05 - ,"Fishing inside Division 58.4.3b; Inside Division 58.4.3a; Fishing inside Division 58.4.3a; Undocumented landing, Malaysia",2007-10-31 - ,,2015-01-21 - ,Illegal fishing,,,,,,,,,2014-05 - ,,,,,
False,AVIOR,Avior,7612321,M-00890,Reefer,,Georgia,4LIJ,,673.000,518,55.000,197512,5.160,"Khabarovskiy Sudostroitelnyy Zavod im Kirova - Khabarovsk Yard/hull No.: 808, U.S.S.R.",ArdiStelo Ltd (OOO 'ArdiStella'),ArdiStelo Ltd (OOO 'ArdiStella'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2006-08-26 - 2009-11-13,1st OBS by NOR TRA in RA,2007-07-22 - 2009-11-13,,,,,,,,,,,
False,BALENA,Balena,,,,,Unknown,,,,,,,,,Long Bow Fishing Co Ltd,,,2010-03-05 - 2011-03-22,Contravention of IOTC Resolution 07/02 and 09/03,,,,,,,,,,,,,,,,,,,,,,,,,,
True,BAROON,Baroon,9037537,,Fishing Vessel,Longline,Unknown,,,616.000,,55.160,,3.750,"Kanasashi Heavy Industries Co Ltd, Japan",Vero Shipping Corporation,,In Service/commission,,,,,,,,,2007-11-02 - ,Inside Division 88.1; Fishing inside Division 58.4.1,2007-11-02 - ,,,,,,,,,,,,2014-05 - ,,,,,
True,BENAIAH,BENAIAH,,TN-2/FV01699/13,Fishing Vessel,"Longline, Gillnets",India,,,,,,,,,Raju,Chris Lukaj,,2017-05 - ,Fishing without a license in the waters of the UK (OT),2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,BERKAT MENJALA NO. 23,Berkat Menjala No. 23,8510271,,Fishing Vessel,Longline,Unknown,,,587.000,399,"50.500, 50.820",198509,3.710,"Niigata Shipbuilding and Repair, Niigata, Japan, Japan",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,,,,,,,,,,,,,2014-01-21 - ,Absconded stateless fishing vessel,,,,,,,,,,,,,,
True,BHASKARA NO. 10,Bhaskara No. 10,,,,,Unknown,,,,,,,,,,,,,,2011-08-30 - ,E11-5762,2005-12-26 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
